from_station_id,to_station_id,line
2122,2517,"6"
2122,1909,"6"
2177,2217,"6"
2399,2065,"6"
3901291,1743,"12"
2065,3343795,"6"
2069,3343755,"6"
2069,2390,"6"
2543,1166831,"6"
2135,3343755,"6"
2135,1827,"6"
1743,2282,"12"
1743,3901291,"12"
2282,1743,"12"
2282,2535,"12"
2390,2517,"6"
2475,2135,"6"
1974,2303,"6"
2303,2528,"6"
2267,2245,"12"
2267,2535,"12"
2520,2185,"6"
2174,2501,"12"
2174,1750,"12"
1644,1974,"6"
2176,1870,"12"
2176,1750,"12"
2255,1827,"6"
2217,2520,"6"
1750,2176,"12"
1750,2174,"12"
2251,2069,"6"
2496,1724,"12"
2496,2316,"12"
1909,2122,"6"
1909,2028,"6"
2455,2479,"12"
2455,1666,"12"
2436,2548,"11"
2436,1905,"11"
1875,2430,"11"
2136,2528,"5"
2136,2521,"5"
2247,1674,"5"
2247,1772,"5"
2501,2174,"12"
2501,1632,"12"
2392,2475,"6"
2392,1632,"12"
2392,1938,"12"
2309,1824,"12"
2309,2442,"12"
2052,1980,"12"
2052,2479,"12"
2121,2257,"5"
2121,2089,"5"
1938,1824,"12"
1938,2392,"12"
1891,2257,"5"
1891,2424,"5"
1632,2392,"12"
1632,2501,"12"
2245,2401,"12"
2245,2267,"12"
1720,2401,"12"
1720,2316,"12"
2479,2455,"12"
2479,2052,"12"
1870,2176,"12"
1898,2209,"5"
1898,1766,"5"
2437,2111,"5"
2437,1952,"5"
1772,2424,"5"
1772,2247,"5"
1714,3343782,"9"
1714,3343784,"5"
1714,2513,"9"
2441,2359,"9"
2441,1945,"9"
2440,1917,"9"
2440,2295,"9"
2162,2291,"9"
2162,1945,"9"
1745,1704,"9"
1745,1882,"9"
1882,2107,"9"
1882,1745,"9"
2460,2359,"9"
2460,2285,"9"
2343,2088,"9"
2280,2088,"9"
2280,2425,"9"
2331,1774,"1"
2331,2221,"1"
2295,2354,"9"
2295,2440,"9"
2513,2032,"9"
2513,1714,"9"
2261,2355,"9"
2261,2425,"9"
1873,1745,"9"
1873,1993,"9"
1917,2440,"9"
1917,2453,"9"
2517,2069,"6"
2517,2122,"6"
2517,2291,"9"
2517,2453,"9"
2291,2162,"9"
2291,2517,"9"
2088,2280,"9"
2088,2343,"9"
2032,2513,"9"
2032,2454,"9"
2355,2354,"9"
2355,2261,"9"
2355,2026,"10"
1704,1745,"9"
1704,1993,"9"
2425,2280,"9"
2425,2261,"9"
2454,2107,"9"
2454,2032,"9"
2470,2116,"1"
2470,1751,"1"
1993,1704,"9"
1993,1873,"9"
2453,2517,"9"
2453,1917,"9"
3343802,3343804,"8"
1718,2430,"3B"
1718,2393,"3B"
3343804,3343806,"8"
2393,2205,"3B"
2393,1718,"3B"
2430,1875,"11"
2430,1682,"11"
2430,1718,"3B"
2525,2255,"6"
2525,2185,"4"
2525,1692,"4"
2185,2528,"6"
2185,1828,"4"
2185,2525,"6"
1742,2478,"4"
3343806,3343808,"8"
1957,2209,"5"
1957,1674,"5"
1957,2547,"4"
3343808,3343810,"8"
2411,2334,"4"
2411,2442,"4"
2442,2411,"4"
2442,2309,"12"
2442,1824,"4"
2442,1666,"12"
2413,2159,"4"
2413,4028973,"4"
1824,2309,"12"
1824,2442,"4"
1824,1938,"12"
1824,1692,"4"
1677,2153,"4"
1677,1765,"4"
1677,3343774,"9"
1677,1766,"9"
3343815,3343818,"8"
2535,2282,"12"
2535,2152,"4"
2535,2478,"4"
2535,2267,"12"
1692,1824,"4"
1692,2525,"4"
3343813,3343815,"8"
1934,1765,"4"
1934,2322,"4"
2322,1934,"4"
2322,2221,"4"
3343338,3343746,"8"
3343338,3343336,"8"
2478,1742,"4"
2478,2535,"4"
3343810,3343811,"8"
2152,2547,"4"
2152,2535,"4"
3343811,3343813,"8"
2089,2121,"5"
3343336,3343335,"8"
3343336,3343338,"8"
2153,1677,"4"
2153,2209,"4"
2424,1772,"5"
2424,1891,"5"
3343335,3343336,"8"
2472,2533,"4"
2472,2221,"4"
2257,1891,"5"
2257,2121,"5"
1828,2159,"4"
1828,2185,"4"
2521,2136,"5"
2521,1952,"5"
2159,2413,"4"
2159,1828,"4"
3343818,3343825,"8"
2137,1811,"10"
2137,1908,"10"
2412,2418,"7"
1800,2015,"7"
1800,2209,"7"
1703,2093,"7"
1703,1674,"7"
2205,1737,"3"
2205,2393,"3B"
2205,2394,"3"
3343795,3343798,"8"
3343795,3343793,"8"
3343795,2543,"6"
3343793,3343795,"8"
3343793,1698,"8"
3343799,3343802,"8"
2533,2472,"4"
2533,2167,"10"
2533,2334,"4"
2175,2093,"7"
2175,1744,"7"
1779,2471,"3"
1779,1766,"3"
1911,1944,"7"
3343798,3343799,"8"
2471,1779,"3"
2471,2394,"3"
1806,1774,"7"
1806,2221,"7"
1790,2412,"7"
3343755,3343746,"8"
3343755,1661,"10"
3343755,2106,"10"
3343755,3343757,"8"
3343755,2251,"6"
3343755,2135,"6"
2196,1662,"3"
2196,1760,"3"
1949,1737,"3"
2150,1903,"10"
2150,2106,"10"
1707,2509,"2"
1707,2406,"2"
3343759,3343757,"8"
3343759,2293,"8"
2026,1818,"10"
2106,3343755,"10"
2106,2150,"10"
3343757,3343755,"8"
3343757,3343759,"8"
2179,2494,"2"
2179,1822,"2"
2050,1765,"3"
2050,1761,"11"
2050,1766,"3"
1952,1908,"10"
1952,2521,"5"
1952,2437,"5"
2128,2548,"2"
2128,2351,"2"
2194,2193,"10"
2020,1854,"7"
2020,2529,"7"
2494,2179,"2"
2494,2028,"2"
1786,1738,"3"
1786,2514,"3"
3343782,3343782,"8"
3343782,1714,"9"
3343782,3343784,"8"
3343782,1766,"9"
1905,2436,"11"
1905,2408,"11"
2285,2460,"9"
2285,2314,"3"
2285,1971,"9"
2285,1724,"3"
2218,2548,"11"
2218,1766,"11"
3343784,3343782,"8"
3343784,2111,"8"
3343784,1714,"5"
1635,2191,"7B"
1682,2430,"11"
1682,2408,"11"
2191,2013,"7B"
2191,2408,"7B"
1662,2196,"3"
1662,1765,"3"
3343788,3343789,"8"
3343788,2111,"8"
1765,1677,"4"
1765,1662,"3"
1765,2050,"3"
1765,1934,"4"
2329,2163,"3"
3343789,1698,"8"
3343789,3343788,"8"
2163,1802,"3"
2124,2013,"7B"
2124,1674,"7B"
3343746,3343746,"8"
3343746,3343755,"8"
3343746,3343338,"8"
1737,1949,"3"
